id,name,name_in_home_country,value,number,contract_expiry,birthplace,date_of_birth,height,position,main_position,other_position,citizenship,international_team,foot,current_club,player_agent,outfitter,url,age,last_name,simple_name
01040647,Gennaro Acampora,,0.6,44.0,"Jun 30, 2024",Napoli,03/29/1994,1.74,central midfield,central midfield,defensive midfield,Italy,Italy U20,left,SSC Bari,Avvocato Claudio,Unknown,https://www.transfermarkt.com/gennaro-acampora/profil/spieler/230826,30,Acampora,Gennaro Acampora
0107757e,Filip Jørgensen,,15.0,13.0,"Jun 30, 2027",Lomma,04/16/2002,1.9,goalkeeper,goalkeeper,undefined,Denmark,Denmark U21,right,Villarreal CF,Goal Management,Unknown,https://www.transfermarkt.com/filip-jorgensen/profil/spieler/585323,22,Jørgensen,Filip Jorgensen
0118c54c,Anthony Caci,,7.0,19.0,"Jun 30, 2026",Forbach,07/1/1997,1.84,full-back,full-back,centre-back,France,France U23,right,FSV Mainz 05,Classico,Unknown,https://www.transfermarkt.com/anthony-caci/profil/spieler/453016,26,Caci,Anthony Caci
011b2a32,Trévis Dago,,0.2,,"Jun 30, 2026",Villeneuve-Saint-Geo...,01/21/2005,1.85,forward,forward,winger,France,,right,LOSC Lille B,Darren Dein,Unknown,https://www.transfermarkt.com/trevis-dago/profil/spieler/984697,19,Dago,Trevis Dago
011d8c56,Miguel Ángel Moyá,Miguel Ángel Moyà Rumbo,0.0,,,Binissalem,04/2/1984,1.89,goalkeeper,goalkeeper,undefined,Spain,Spain U21,right,Retired,Manuel García,Unknown,https://www.transfermarkt.com/miguel-angel-moya/profil/spieler/26065,40,Moyá,Miguel Angel Moya
01204d46,Daniel Høegh,Daniel Mathias Høegh,0.35,3.0,"Jun 30, 2025",Odense,01/6/1991,1.9,centre-back,centre-back,undefined,Denmark,Denmark,right,Randers FC,People In Sport,Unknown,https://www.transfermarkt.com/daniel-hoegh/profil/spieler/99100,33,Høegh,Daniel Hoegh
01226327,Ryan Bertrand,Ryan Dominic Bertrand,0.3,,,London,08/5/1989,1.79,full-back,full-back,winger,England,England,left,Without Club,FA Sport,Unknown,https://www.transfermarkt.com/ryan-bertrand/profil/spieler/40611,34,Bertrand,Ryan Bertrand
0127419a,Ianis Hagi,,2.0,10.0,"Jun 30, 2024",Istanbul,10/22/1998,1.82,attacking midfield,attacking midfield,winger,Romania,Romania,both,Deportivo Alavés,AC Talent,Nike,https://www.transfermarkt.com/ianis-hagi/profil/spieler/282076,25,Hagi,Ianis Hagi
012c38ec,Meritan Shabani,,0.3,10.0,"Jun 30, 2024",München,03/15/1999,1.85,attacking midfield,attacking midfield,central midfield,Germany,Germany U20,right,Grasshopper Club Zurich,EMG Mundial,Unknown,https://www.transfermarkt.com/meritan-shabani/profil/spieler/379980,25,Shabani,Meritan Shabani
012c975a,Rhys Williams,,1.0,46.0,"Jun 30, 2026",Preston,02/3/2001,1.95,centre-back,centre-back,undefined,England,England U21,right,Liverpool FC,CAA Stellar,Puma,https://www.transfermarkt.com/rhys-williams/profil/spieler/503679,23,Williams,Rhys Williams
014aa7bd,Álvaro Aguado,lvaro Aguado Méndez,3.0,18.0,"Jun 30, 2025",Jaén,05/1/1996,1.75,central midfield,central midfield,attacking midfield,Spain,,right,RCD Espanyol Barcelona,YOU FIRST,adidas,https://www.transfermarkt.com/alvaro-aguado/profil/spieler/449496,27,Aguado,Alvaro Aguado
014b57f5,Sergio Moreno,Sergio Moreno Martínez,0.25,12.0,"Jun 30, 2024",Pamplona,01/1/1999,1.78,forward,forward,winger,Spain,,right,CD Estepona FS,Eugenio Botas,Unknown,https://www.transfermarkt.com/sergio-moreno/profil/spieler/607779,25,Moreno,Sergio Moreno
0154d290,Felix Afena-Gyan,Felix Ohene Afena-Gyan,3.0,11.0,-,Sunyani,01/19/2003,1.75,forward,forward,forward,Ghana,Ghana,right,US Cremonese,Arthurlegacy Sports,Unknown,https://www.transfermarkt.com/felix-afena-gyan/profil/spieler/872380,21,Afena-Gyan,Felix Afena-Gyan
0166a73e,Álvaro Valles,lvaro Valles Rosa,15.0,13.0,"Jun 30, 2025",La Rinconada,07/25/1997,1.91,goalkeeper,goalkeeper,undefined,Spain,,right,UD Las Palmas,YOU FIRST,Unknown,https://www.transfermarkt.com/alvaro-valles/profil/spieler/417913,26,Valles,Alvaro Valles
016ff750,Valentino Lazaro,Valentino Lando Lazaro,4.0,20.0,"Jun 30, 2027",Graz,03/24/1996,1.81,winger,winger,winger,Austria,Austria,right,Torino FC,Unique Sports Group,adidas,https://www.transfermarkt.com/valentino-lazaro/profil/spieler/186368,28,Lazaro,Valentino Lazaro
017018d1,Fabian Holland,,0.6,32.0,"Jun 30, 2025",Berlin,07/11/1990,1.72,full-back,full-back,winger,Germany,Germany U20,left,SV Darmstadt 98,Unknown,Unknown,https://www.transfermarkt.com/fabian-holland/profil/spieler/54846,33,Holland,Fabian Holland
0174ba21,Robin Hack,,4.0,25.0,"Jun 30, 2027",Pforzheim,08/27/1998,1.78,winger,winger,attacking midfield,Germany,Germany U21,right,Borussia Mönchengladbach,CN Sports,Unknown,https://www.transfermarkt.com/robin-hack/profil/spieler/284010,25,Hack,Robin Hack
017ab4d4,Arda Turan,,0.0,,,Istanbul,01/30/1987,1.77,winger,winger,attacking midfield,Türkiye,Türkiye,right,Retired,Foot & Ball,Nike,https://www.transfermarkt.com/arda-turan/profil/spieler/21369,37,Turan,Arda Turan
01834aa0,Sebastiaan Bornauw,,7.0,3.0,"Jun 30, 2026",Wemmel,03/22/1999,1.91,centre-back,centre-back,full-back,Belgium,,right,VfL Wolfsburg,CAA Stellar,adidas,https://www.transfermarkt.com/sebastiaan-bornauw/profil/spieler/338629,25,Bornauw,Sebastiaan Bornauw
01870104,Mohamed Bayo,Mohamed Lamine Bayo,6.0,9.0,"Jun 30, 2024",Clermont-Ferrand,06/4/1998,1.88,forward,forward,undefined,Guinea,,right,Le Havre AC,Soccermax,adidas,https://www.transfermarkt.com/mohamed-bayo/profil/spieler/594991,25,Bayo,Mohamed Bayo
01962d0d,Joe Gelhardt,Joseph Paul Gelhardt,5.0,30.0,"Jun 30, 2027",Liverpool,05/4/2002,1.79,forward,forward,forward,England,England U21,left,Leeds United,Triple S Sports,Unknown,https://www.transfermarkt.com/joe-gelhardt/profil/spieler/503980,21,Gelhardt,Joe Gelhardt
019f4d0d,Leandro Castán,Leandro Castán da Silva,0.0,,,Jaú,11/5/1986,1.86,centre-back,centre-back,undefined,Brazil,Brazil,left,Retired,LIFEPRO,Unknown,https://www.transfermarkt.com/leandro-castan/profil/spieler/54929,37,Castán,Leandro Castan
01a49bd2,Lisandro Magallán,,1.0,4.0,"Jun 30, 2025",La Plata,09/27/1993,1.85,centre-back,centre-back,undefined,Argentina,Argentina U20,right,UNAM Pumas,SP,adidas,https://www.transfermarkt.com/lisandro-magallan/profil/spieler/66736,30,Magallán,Lisandro Magallan
01ae64cd,Aythami Artiles,Aythami Artiles Oliva,0.0,,,Arguineguín,04/2/1986,1.85,centre-back,centre-back,undefined,Spain,,right,Retired,Ivan Cristovinho,Unknown,https://www.transfermarkt.com/aythami-artiles/profil/spieler/44735,38,Artiles,Aythami Artiles
01b8a2b2,Wojciech Szczęsny,Wojciech Tomasz Szczęsny,8.0,1.0,"Jun 30, 2025",Warszawa,04/18/1990,1.96,goalkeeper,goalkeeper,undefined,Poland,Poland,right,Juventus FC,CAA Stellar,Nike,https://www.transfermarkt.com/wojciech-szczesny/profil/spieler/44058,34,Szczęsny,Wojciech Szczesny
01ba3996,Taylor Perry,,0.4,14.0,"Jun 30, 2025",Stourbridge,07/15/2001,1.8,central midfield,central midfield,attacking midfield,England,England U17,right,Shrewsbury Town,OmniSports,Unknown,https://www.transfermarkt.com/taylor-perry/profil/spieler/502073,22,Perry,Taylor Perry
01bb93d5,Nico Paz,Nicolás Paz Martínez,10.0,10.0,"Jun 30, 2027",Santa Cruz de ...,09/8/2004,1.86,attacking midfield,attacking midfield,central midfield,Argentina,Argentina U23,left,Real Madrid Castilla,Best of You,adidas,https://www.transfermarkt.com/nico-paz/profil/spieler/948294,19,Paz,Nico Paz
01becd60,Alan Virginius,,3.0,26.0,"Jun 30, 2024",Soisy-sous-Montmoren...,01/3/2003,1.8,winger,winger,winger,France,,right,Clermont Foot 63,VV Consulting,Unknown,https://www.transfermarkt.com/alan-virginius/profil/spieler/654415,21,Virginius,Alan Virginius
01c3aff5,Weston McKennie,Weston James Earl McKennie,25.0,16.0,"Jun 30, 2025","Little Elm, Texas",08/28/1998,1.85,central midfield,central midfield,winger,United States,USA,right,Juventus FC,Wasserman,adidas,https://www.transfermarkt.com/weston-mckennie/profil/spieler/332697,25,McKennie,Weston McKennie
01ce9e70,Kieffer Moore,Kieffer Roberto Francisco Moore,2.0,24.0,"May 31, 2024",Torquay,08/8/1992,1.96,forward,forward,centre-back,Wales,Wales,right,Ipswich Town,Unique Sports Group,Unknown,https://www.transfermarkt.com/kieffer-moore/profil/spieler/275590,31,Moore,Kieffer Moore
01da7812,Myrto Uzuni,,10.0,11.0,"Jun 30, 2026",Berat,05/31/1995,1.78,winger,winger,winger,Albania,Albania,right,Granada CF,BFM,Nike,https://www.transfermarkt.com/myrto-uzuni/profil/spieler/315289,28,Uzuni,Myrto Uzuni
01e5f06e,Sergio Gómez,Sergio Gómez Martín,10.0,21.0,"Jun 30, 2026",Badalona,09/4/2000,1.71,full-back,full-back,winger,Spain,,left,Manchester City,SEG,Unknown,https://www.transfermarkt.com/sergio-gomez/profil/spieler/366930,23,Gómez,Sergio Gomez
01eb744d,Ángel Correa,ngel Martín Correa Martínez,18.0,10.0,"Jun 30, 2026",Rosario,03/9/1995,1.71,winger,winger,forward,Argentina,,right,Atlético de Madrid,Augustin Jimenez,Unknown,https://www.transfermarkt.com/angel-correa/profil/spieler/266807,29,Correa,Angel Correa
01efac19,Antonín Barák,,5.0,72.0,"Jun 30, 2026",Příbram,12/3/1994,1.9,attacking midfield,attacking midfield,central midfield,Czech Republic,Czechia,left,ACF Fiorentina,Relatives,Unknown,https://www.transfermarkt.com/antonin-barak/profil/spieler/272261,29,Barák,Antonin Barak
01fd01e8,Isaak Touré,Souleymane Isaak Touré,8.0,95.0,"Jun 30, 2028",Gonesse,03/28/2003,2.06,centre-back,centre-back,undefined,France,France U21,left,FC Lorient,ND SPORTS MANAGEMENT,Unknown,https://www.transfermarkt.com/isaak-toure/profil/spieler/708678,21,I. Touré,Isaak Toure
02319ad7,Jaime Mata,Jaime Mata Arnaiz,1.0,7.0,"Jun 30, 2024",Madrid,10/24/1988,1.86,forward,forward,winger,Spain,Spain,right,Getafe CF,Viasport,Unknown,https://www.transfermarkt.com/jaime-mata/profil/spieler/227961,35,Mata,Jaime Mata
023937a9,Ivan Radovanovic,aн Paдoвaнoвић,0.0,30.0,-,Kosovska Mitrovica,08/29/1988,1.87,defensive midfield,defensive midfield,central midfield,Serbia,Serbia,right,FK Jedinstvo Ub,P&P Sport,Unknown,https://www.transfermarkt.com/ivan-radovanovic/profil/spieler/46105,35,Radovanovic,Ivan Radovanovic
02760e49,Michel Vlap,,4.0,18.0,"Jun 30, 2025",Sneek,06/2/1997,1.9,attacking midfield,attacking midfield,central midfield,Netherlands,Netherlands U21,right,Twente Enschede FC,Muy Manero,Unknown,https://www.transfermarkt.com/michel-vlap/profil/spieler/342702,26,Vlap,Michel Vlap
028e70b9,Joshua Zirkzee,Joshua Orobosa Zirkzee,40.0,9.0,"Jun 30, 2026",Schiedam,05/22/2001,1.93,forward,forward,forward,Netherlands,,right,Bologna FC 1909,Sports Invest UK ltd,Nike,https://www.transfermarkt.com/joshua-zirkzee/profil/spieler/435648,22,Zirkzee,Joshua Zirkzee
02a5618e,Fran Navarro,Francisco José Navarro Aliaga,10.0,29.0,"Jun 30, 2024",Valencia,02/3/1998,1.79,forward,forward,forward,Spain,Spain U20,right,Olympiacos Piraeus,JONATHAN SÁNCHEZ,Unknown,https://www.transfermarkt.com/fran-navarro/profil/spieler/284883,26,Navarro,Fran Navarro
02b29014,Abdoulaye Doucouré,,12.0,16.0,"Jun 30, 2025",Meulan-en-Yvelines,01/1/1993,1.83,central midfield,central midfield,defensive midfield,Mali,Mali,right,Everton FC,DHC,Unknown,https://www.transfermarkt.com/abdoulaye-doucoure/profil/spieler/127187,31,Doucouré,Abdoulaye Doucoure
02b2937c,Daniele Dessena,,0.3,4.0,"Jun 30, 2026",Parma,05/10/1987,1.82,central midfield,central midfield,undefined,Italy,Italy U21,right,Olbia Calcio 1905,BC Group,Lotto,https://www.transfermarkt.com/daniele-dessena/profil/spieler/29962,36,Dessena,Daniele Dessena
02b3733e,Lucas Mincarelli,,0.6,,"Jun 30, 2027",Saint-Martin ...,01/5/2004,1.79,full-back,full-back,winger,France,France U20,left,Montpellier HSC,Unknown,Unknown,https://www.transfermarkt.com/lucas-mincarelli/profil/spieler/982393,20,Mincarelli,Lucas Mincarelli
02b952ce,Aapo Halme,Aapo Ilmari Halme,0.2,6.0,"Dec 31, 2024",Helsinki,05/22/1998,1.96,centre-back,centre-back,defensive midfield,Finland,Finland,right,HJK Helsinki,Dirk Hebel,Unknown,https://www.transfermarkt.com/aapo-halme/profil/spieler/322984,25,Halme,Aapo Halme
02bcaf8e,Billal Brahimi,Date of birth/Age:,4.0,21.0,"Jun 30, 2024",Paris,03/14/2000,1.83,winger,winger,winger,Algeria,Algeria,left,Stade Brestois 29,Unknown,Unknown,https://www.transfermarkt.com/billal-brahimi/profil/spieler/543051,24,Brahimi,Billal Brahimi
02c15616,Marcos Llorente,Marcos Llorente Moreno,30.0,14.0,"Jun 30, 2027",Madrid,01/30/1995,1.84,central midfield,central midfield,winger,Spain,Spain,right,Atlético de Madrid,Unknown,Nike,https://www.transfermarkt.com/marcos-llorente/profil/spieler/282411,29,Llorente,Marcos Llorente
02caf6e0,Manuel Lazzari,,5.0,29.0,"Jun 30, 2027",Valdagno,11/29/1993,1.74,winger,winger,full-back,Italy,,right,SS Lazio,Italian Managers,Lotto,https://www.transfermarkt.com/manuel-lazzari/profil/spieler/331401,30,Lazzari,Manuel Lazzari
02ce2030,Uros Spajic,Date of birth/Age:,1.0,5.0,"Jun 30, 2025",Belgrade,02/13/1993,1.88,centre-back,centre-back,full-back,Serbia,Serbia,right,Red Star Belgrade,Miami stars,adidas,https://www.transfermarkt.com/uros-spajic/profil/spieler/160222,31,Spajic,Uros Spajic
02d2c436,Luis Hernández,Luis Hernández Rodríguez,0.7,,"Jun 30, 2026",Madrid,04/14/1989,1.82,centre-back,centre-back,full-back,Spain,Spain U19,right,Cádiz CF,Unknown,Unknown,https://www.transfermarkt.com/luis-hernandez/profil/spieler/62945,35,L. Hernández,Luis Hernandez
02ee4c77,Bjørn Johnsen,Bjørn Maars Johnsen,0.35,9.0,-,"New York City, New ...",11/6/1991,1.95,forward,forward,undefined,Norway,Norway,right,Torpedo Kutaisi,no agent,Unknown,https://www.transfermarkt.com/bjorn-johnsen/profil/spieler/250686,32,Johnsen,Bjorn Johnsen
02ef8778,Raúl de Tomás,Raúl de Tomás Gómez,3.0,22.0,"Jun 30, 2027",Madrid,10/17/1994,1.8,forward,forward,undefined,Spain,Spain,right,Rayo Vallecano,Relatives,Unknown,https://www.transfermarkt.com/raul-de-tomas/profil/spieler/162038,29,de Tomás,Raul de Tomas
02febfdc,Raffaele Maiello,,0.75,17.0,"Jun 30, 2025",Acerra,07/10/1991,1.77,defensive midfield,defensive midfield,central midfield,Italy,Italy U20,right,SSC Bari,Andrea Cattoli,Unknown,https://www.transfermarkt.com/raffaele-maiello/profil/spieler/140559,32,Maiello,Raffaele Maiello
0302f7b4,Jastin García,Antonino Jastin García López,0.0,,"Jun 30, 2027",Lleida,01/15/2004,1.8,winger,winger,forward,Spain,,right,Girona FC B,Goal Management,Unknown,https://www.transfermarkt.com/jastin-garcia/profil/spieler/1061665,20,García,Jastin Garcia
03049c8c,Keidi Bare,,3.0,8.0,"Jun 30, 2024",Fier,08/28/1997,1.74,central midfield,central midfield,defensive midfield,Albania,Albania,right,RCD Espanyol Barcelona,Niagara Sports,adidas,https://www.transfermarkt.com/keidi-bare/profil/spieler/295622,26,Bare,Keidi Bare
